Nombre,Descripción,lon,lat
CI,Centro de integración,-75.57969539999999,6.2171745
02,Creaciones latinas,-75.432705,6.0291789
04,Opción Calificada,-75.3693569,6.150095899999999
06,Sodecon Confecciones,-75.26764709999999,6.138652
08,Línea modelo,-75.4295337,6.0350586
13,ALIANZA CONAZZTEX,-75.2622344,6.139473499999999
19,MANANTIALES,-75.337484,6.088041
24,ECOOELSA,-75.2598529,6.136884299999999
31,CONF CREARTEX ,-75.4336924,6.0293204
32,MANUFAC. ZULUAGA,-75.3390964,6.167163599999999
36,Incoomar,-75.3399265,6.1740889
39,CONFECCIONES ILUAMA,-75.267697,6.13858
40,Grupo cenit,-75.33459119999999,6.169877899999999
42,coopimar,-75.35350129999999,6.1796827
46,CAVITEX,-75.2622457,6.139464
48,SUEÑOS DALEY,-75.4317654,6.023090499999999
49,Angelus,-75.428738,6.037051
65,MPM,-75.43997379999999,6.0211736
56,TENDENCIA Y MODA,-75.26589,6.136143
69,COOMUNELSA,-75.26155419999999,6.1374929
70,CONSUATEX,-75.4262825,6.0318998
88,INVERSIONES CNT,-75.3671169,6.1644366
A4,CONFECC COOL FASHION,-75.3386841,6.169357199999999
A5,CONFECCIONES LILIMAR,-75.37576399999999,6.1515135
A6,WAKANER RIONEGRO,-75.3690912,6.1652045
B3,MODATEX,-75.3372735,6.1688305
B7,CREATEX FORMAS INTIMAS,-75.3371513,6.168939399999999
D2,IMATEX,-75.3378142,6.1757136
D4,IMAGEN TEXTIL J&S,-75.26021639999999,6.1377671
D7,orientex,-75.268945,6.1382195
P86,sarai,-75.2684921,6.1395646
RE,Renacer,-75.3377,6.170282
CD,Centro de Distribución,-75.582095,6.199515
