Nombre,Descripción,lon,lat
Punto 1,,-75.532988,6.1535436
Punto 2,,-75.4899979,6.094251
Punto 3,,-75.4483993,6.1774061
Punto 4,,-75.4880572,6.2047862
Punto 5,,-75.4657265,6.1860524
Punto 6,,-75.5025304,6.2169613
Punto 7,,-75.4903478,6.1715103
Punto 8,,-75.5240472,6.1432792
Punto 10,,-75.4235955,6.124616
Punto 11,,-75.5590752,6.2207343
Punto 12,,-75.4281982,6.0902721
Punto 13,,-75.5002424,6.1707112
Punto 14,,-75.4354807,6.1782187
Punto 15,,-75.4326162,6.250355
Punto 16,,-75.554226,6.1346272
Punto 17,,-75.480297,6.0909102
Punto 18,,-75.4222837,6.060844
Punto 19,,-75.4567368,6.0586535
Punto 20,,-75.4333026,6.1424703
Punto 21,,-75.451403,6.1131236
Punto 22,,-75.6332218,6.0678213
Punto 23,,-75.4492234,6.0188674
Punto 24,,-75.4319548,6.0093174
Punto 25,,-75.4124652,6.0234656
Point 25,,-75.3402419,6.1393064
