planta,n,di,pi,lon,lat,total
06,SODECON CONFECCIONES,0.6,0.2,-75.2676471,6.138652,21
13,ALIANZA CONAZZTEX,1,0.9,-75.2622344,6.1394735,23
24,ECOOELSA,5.7,3.5,-75.2598529,6.1368843,55
39,CONFECCIONES ILUAMA,0.2,0.4,-75.267697,6.13858,20
46,CAVITEX,2.8,2.2,-75.2622457,6.139464,22
56,MPM,0.4,0.1,-75.26589,6.136143,22
69,COOMUNELSA,2.2,2.8,-75.2615542,6.1374929,33
D4,IMAGEN TEXTIL J&S,1.3,1,-75.2602164,6.1377671,34
D7,ORIENTEX,0.9,0.4,-75.268945,6.1382195,25
P86,SARAI,0.3,0.3,-75.2684921,6.1395646,19
CI,Centro de int,0,0,-75.5796954,6.2171745,
CD,Centro de dist,0,0,-75.582095,6.199515,
