ID Registro;Fecha;Hora Llegada;Planta;Ruta;Vehiculo;Hora Salida
e80a7695;1/08/2025;4:52:00 a.ÿm.;CI CENTRO DE INTEGRACIàN;R1;V2;4:54:00
2edc403d;1/08/2025;6:42:00 a.ÿm.;CD CENTRO DE DISTRIBUCIàN;R9;V17;7:29:00
4244b8f6;1/08/2025;6:39:00 a.ÿm.;42 COOPIMAR - COOPERATIVA INDUSTRIAL MARINILLA C.T.A;R1;V2;7:02:00
576c8abc;1/08/2025;4:40:00 a.ÿm.;CI CENTRO DE INTEGRACIàN;R4;V4;5:00:00
3b8129f1;1/08/2025;6:10:00 a.ÿm.;A6 WAGNER COMMERCIAL GROUP (ANTES PRODYCO RIONEGRO);R4;V4;6:30:00
6d22f0db;1/08/2025;6:30:00 a.ÿm.;88 INVERSIONES CNT S.A.S - INVERSIONES CENTRO DE NEGOCIOS TEXTILES S.A.S;R4;V4;6:40:00
1e3cd05b;1/08/2025;6:40:00 a.ÿm.;CD CENTRO DE DISTRIBUCIàN;R9;V13;7:18:00
da8bcc93;1/08/2025;7:03:00 a.ÿm.;B9 DUNNINGTON CORPORATION (ANTES NOVAL);R2;V20;8:15:00
d0813317;1/08/2025;7:06:00 a.ÿm.;B9 DUNNINGTON CORPORATION (ANTES NOVAL);R2;V20;7:42:00
685fe97b;1/08/2025;7:07:00 a.ÿm.;D2 IMATEX INDUSTRIA Y MANUFACTURAS TEXTILES S.A.S;R1;V2;7:31:00
295bc158;1/08/2025;6:50:00 a.ÿm.;A5 CONFECCIONES LILIMAR RIONEGRO S.A.S.;R4;V4;7:00:00
743d17f9;1/08/2025;6:50:00 a.ÿm.;01 TEXTILES LA MARQUEZA S.A.S;R4;V4;7:00:00
41f61124;1/08/2025;7:05:00 a.ÿm.;04 OPCION CALIFICADA S.A.;R4;V4;7:10:00
31030807;1/08/2025;7:29:00 a.ÿm.;30 WAGNER COMMERCIAL GROUP (ANTES TINY MED);R2;V20;7:42:00
c84883dd;1/08/2025;7:33:00 a.ÿm.;36 INCOOMAR - INDUSTRIA COOPERATIVA DE MARINILLA;R1;V2;7:54:00
9053e63e;1/08/2025;7:35:00 a.ÿm.;30 WAGNER COMMERCIAL GROUP (ANTES TINY MED);R2;V20;7:42:00
741065d3;1/08/2025;7:39:00 a.ÿm.;CI CENTRO DE INTEGRACIàN;R2;V20;7:25:00
017f075d;1/08/2025;7:42:00 a.ÿm.;P14 PRYM S.A.S.;R9;V17;8:11:00
7dd0418c;1/08/2025;7:30:00 a.ÿm.;19 COOP.DE TABAJO ASOCIADO - C.T.A. MANANTIALES;R4;V4;7:45:00
24840aab;1/08/2025;7:51:00 a.ÿm.;P59 INVERSIONES AGRARIAS;R9;V13;8:00:00
544a4596;1/08/2025;8:11:00 a.ÿm.;P85 CREACIONES VENETO SAS;R9;V13;8:23:00
b63fb745;1/08/2025;8:12:00 a.ÿm.;40 GRUPO CENIT S.A.S;R1;V2;8:22:00
36bb56b7;1/08/2025;8:20:00 a.ÿm.;LS LESENSUEL;R2;V20;10:46:00
5617727e;1/08/2025;8:21:00 a.ÿm.;LS LESENSUEL;R2;V20;8:53:00
81375a31;1/08/2025;8:24:00 a.ÿm.;B3 MODATEX CONFECCIONES JFC S.A.S.;R1;V2;8:35:00
4bd7e194;1/08/2025;8:24:00 a.ÿm.;B3 MODATEX CONFECCIONES JFC S.A.S.;R1;V2;8:31:00
6b92e17e;1/08/2025;8:29:00 a.ÿm.;B7 CREATEX FORMAS INTIMAS S.A.S.;R1;V2;8:35:00
9b85ccd4;1/08/2025;8:36:00 a.ÿm.;P14 PRYM S.A.S.;R9;V13;8:52:00
f26fca97;1/08/2025;8:38:00 a.ÿm.;32 MANUFACTURAS GIRALDO ZULUAGA S.A.S.;R1;V2;9:35:00
a815fbc5;1/08/2025;8:15:00 a.ÿm.;22 COOPERATIVA MULTIACTIVA CREAR DE LA UNION;R4;V4;8:35:00
d3e3dfe0;1/08/2025;8:15:00 a.ÿm.;E5 UNITEXDC SAS;R4;V4;8:35:00
0001fe95;1/08/2025;8:15:00 a.ÿm.;12 CREACIONES MIND S.A.S.;R4;V4;8:35:00
8d85fe78;1/08/2025;8:48:00 a.ÿm.;LS LESENSUEL;R2;V20;12:37:00
09dae313;1/08/2025;8:15:00 a.ÿm.;49 CONFECCIONES ANGELUS S.A.S.;R4;V4;8:35:00
26fb46f1;1/08/2025;8:40:00 a.ÿm.;08 LINEA MODELO S.A.;R4;V4;8:45:00
6c9eafbe;1/08/2025;8:55:00 a.ÿm.;PU15 PUERTA 15;R9;V13;9:00:00
1d848b26;1/08/2025;8:50:00 a.ÿm.;31 CONFECCIONES CREARTEX R.I. S.A.S.;R4;V4;8:55:00
53a335db;1/08/2025;9:00:00 a.ÿm.;02 CREACIONES LATINAS MYN S.A.S.;R4;V4;9:05:00
233f55ff;1/08/2025;9:06:00 a.ÿm.;24 ECOOELSA C.T.A - EMPRESA COOP. EL SANTUARIO C.T.A.;R1;V2;9:52:00
2adfa248;1/08/2025;9:10:00 a.ÿm.;P53 GISA SAS;R9;V13;9:30:00
a010b3c4;1/08/2025;9:10:00 a.ÿm.;48 SUE¥OS DALEY S.A.S.;R4;V4;9:15:00
b858062a;1/08/2025;9:20:00 a.ÿm.;65 TENDENCIAS Y MODA VIDAL S.A.S.;R4;V4;9:25:00
75e13b17;1/08/2025;9:35:00 a.ÿm.;70 CONSUATEX S.A.S.;R4;V4;10:05:00
e7c5e0b7;1/08/2025;9:43:00 a.ÿm.;P28 CONFECCIONES ATAVIOS;R9;V13;10:08:00
e9846598;1/08/2025;9:46:00 a.ÿm.;69 COOMUNELSA C.T.A -COOPERATIVA MULT. COMUNITARIA EL SANTUARIO;R1;V2;11:41:00
431b5abf;1/08/2025;10:09:00 a.ÿm.;06 SODECON DE CONFECCION S.A.S;R1;V2;10:26:00
d7421d56;1/08/2025;10:10:00 a.ÿm.;39 CONFECCIONES ILUAMA S.A.S.;R1;V2;10:27:00
