,CI,02,04,06,08,13,19,24,31,32,36,39,40,42,46,48,49,56,65,69,70,88,A4,A5,A6,B3,B7,D2,D4,D7,P86,RE,CD
CI,0.0,103.28,90.50166666666668,109.67333333333332,100.205,111.68833333333332,99.86333333333332,112.17333333333332,103.75166666666668,89.03999999999999,90.955,109.695,90.78166666666668,87.86,110.22166666666666,103.60333333333332,99.235,105.25833333333334,109.32833333333332,111.02166666666668,101.31166666666668,85.19,89.73833333333333,88.13000000000001,87.11166666666666,90.57,90.60166666666667,91.375,111.71833333333332,109.94666666666669,110.56166666666668,90.34833333333331,4.091666666666667
02,89.11333333333333,0.0,26.793333333333333,41.69833333333334,1.8533333333333333,43.71333333333334,20.31833333333333,44.19833333333334,1.165,36.615,38.53,41.72,38.35666666666667,35.434999999999995,42.24666666666667,3.7083333333333335,2.26,4.44,41.35333333333333,43.04666666666667,2.8183333333333334,30.585,37.31333333333334,26.87,29.846666666666668,38.145,38.17666666666666,38.95,43.74333333333333,41.97166666666667,42.586666666666666,37.92333333333333,91.78166666666668
04,74.28999999999999,28.105,0.0,33.70166666666667,27.176666666666662,35.715,13.201666666666666,36.2,28.986666666666668,13.066666666666666,14.981666666666666,33.721666666666664,14.81,11.888333333333332,34.25,30.575,26.206666666666667,32.23166666666667,33.35666666666667,35.05,28.285,7.866666666666666,13.765,4.151666666666666,7.128333333333333,14.596666666666666,14.63,15.401666666666667,35.745,33.973333333333336,34.59,14.376666666666669,76.95833333333333
06,89.96499999999999,45.125,33.931666666666665,0.0,44.19833333333334,3.365,26.863333333333333,3.85,46.00833333333333,21.21833333333333,19.96833333333333,0.0216666666666666,18.225,23.225,0.5483333333333333,47.59666666666667,43.73333333333333,49.251666666666665,1.8866666666666667,3.6233333333333335,44.545,28.62,19.586666666666662,31.56,30.540000000000003,19.625,19.591666666666665,20.12833333333333,3.395,0.5933333333333334,0.8883333333333333,19.683333333333334,92.63333333333334
08,88.22,1.8883333333333328,25.9,40.805,0.0,42.82,19.425,43.305,2.77,35.72166666666667,37.63666666666666,40.82666666666667,37.46333333333334,34.541666666666664,41.35333333333333,4.358333333333333,1.3666666666666667,6.015,40.461666666666666,42.15333333333333,2.0683333333333334,29.691666666666663,36.42,25.976666666666667,28.953333333333333,37.251666666666665,37.28333333333333,38.056666666666665,42.85,41.07833333333333,41.693333333333335,37.03,90.88833333333334
13,91.25,46.41166666666666,35.218333333333334,1.7366666666666668,45.485,0.0,28.15,1.481666666666667,47.295,22.505,21.255,1.7583333333333333,19.511666666666667,24.511666666666667,2.285,48.88333333333333,45.02,50.53833333333333,2.678333333333333,1.2566666666666668,45.83166666666667,29.90666666666667,20.87333333333333,32.846666666666664,31.826666666666664,20.91166666666667,20.87833333333333,21.415000000000003,1.0266666666666666,2.33,2.6266666666666665,20.97,93.92
19,81.96333333333334,20.173333333333336,15.535,24.62833333333333,19.246666666666663,26.641666666666666,0.0,27.126666666666665,21.055,20.741666666666667,22.65666666666667,24.648333333333333,22.48333333333333,19.563333333333333,25.175,22.645,18.78166666666667,24.3,24.28333333333333,25.975,19.59333333333333,16.608333333333334,21.44,13.386666666666668,15.87,22.271666666666665,22.30333333333333,23.076666666666664,26.671666666666667,24.9,25.516666666666666,22.05,84.63166666666666
24,91.73666666666666,46.89833333333333,35.70333333333333,2.2233333333333336,45.97,1.481666666666667,28.635,0.0,47.78,22.99,21.74,2.243333333333333,19.996666666666663,24.996666666666663,2.77,49.36833333333333,45.505,51.02333333333333,3.165,1.375,46.31666666666667,30.391666666666666,21.35833333333333,33.33166666666667,32.31333333333333,21.396666666666665,21.363333333333333,21.9,0.455,2.815,3.1116666666666664,21.455,94.405
31,89.185,1.325,26.865,41.77,1.925,43.78333333333333,20.38833333333333,44.26833333333333,0.0,36.685,38.6,41.79,38.42833333333333,35.50666666666667,42.318333333333335,4.495,2.33,5.258333333333334,41.425,43.11833333333333,2.8883333333333336,30.655,37.385,26.941666666666663,29.916666666666668,38.215,38.248333333333335,39.02,43.81333333333334,42.04166666666666,42.65833333333333,37.995,91.85333333333332
32,73.615,40.141666666666666,17.581666666666667,21.91,39.215,23.925,20.506666666666668,24.41,41.02333333333333,0.0,4.88,21.93166666666667,3.768333333333333,7.221666666666667,22.45833333333333,42.61333333333334,38.75,44.26833333333333,21.565,23.258333333333333,39.56166666666666,12.27,1.975,15.21,14.19,2.806666666666666,2.8383333333333334,5.041666666666667,23.955,22.183333333333334,22.798333333333336,2.585,76.28333333333333
